Phi_1,Phi_2,DPhi_1,DPhi_2,DDPhi_1,t,wire_dist,overlap
1.8939361592772774,0.3844022574900868,-0.9048819624843225,-0.6811457168694004,27.76409068677731,0.9985,0.8041396344925463,
1.8934826300407914,0.38406515465910296,-0.9092343397898779,-0.6672665876366988,27.752323945634544,0.999,0.8031939976651863,
1.8930269255818293,0.38373498991336186,-0.9135828510444465,-0.6533933929237657,27.74035289947858,0.9995,0.8022459294289799,
1.892569047835434,0.38341176026008983,-0.9179274881768987,-0.63952623473722,27.7281781300768,1.0,0.8012954458727114,
1.8921089987406843,0.38309546265558253,-0.9222682431177401,-0.625665214793692,27.715800215580657,1.0005,0.8003425630678085,
1.8916467802406927,0.3827860940053492,-0.9266051077990306,-0.6118104345216363,27.70321973052785,1.0010000000000001,0.7993872970686442,
1.8911823942826058,0.38248365116425687,-0.9309380741542973,-0.5979619950631611,27.69043724584492,1.0015,0.7984296639128485,
1.8907158428176034,0.3821881309366726,-0.9352671341184692,-0.5841199972757943,27.677453328851016,1.002,0.7974696796216199,
1.8902471278008965,0.3818995300766052,-0.9395922796277892,-0.5702845417343131,27.664268543259936,1.0025,0.7965073602000463,
1.8897762511917284,0.3816178452878466,-0.9439135026197407,-0.5564557287325314,27.650883449185926,1.0030000000000001,0.7955427216374302,
1.889303214953373,0.38134307322411193,-0.948230795032963,-0.542633658285124,27.63729860314811,1.0035,0.7945757799076194,
1.8888280210531356,0.38107521048917803,-0.9525441488071841,-0.5288184301293863,27.623514558073452,1.004,0.7936065509693437,
1.888350671462349,0.3808142536370222,-0.9568535558831375,-0.5150101437270536,27.60953186330306,1.0045,0.7926350507665509,
1.8878711681563778,0.38056019917195916,-0.9611590082024888,-0.5012088982660802,27.595351064597708,1.0050000000000001,0.791661295228761,
1.8873895131146154,0.38031304354877826,-0.9654604977077523,-0.4874147926624528,27.58097270414379,1.0055,0.7906853002714126,
1.886905708320482,0.38007278317287807,-0.9697580163422268,-0.47362792556193944,27.566397320558735,1.006,0.7897070817962154,
1.886419755761428,0.3798394144004014,-0.9740515560499122,-0.4598483953418971,27.551625448898278,1.0065,0.7887266556915196,
1.885931657428929,0.3796129335383694,-0.9783411087754396,-0.44607630011303806,27.536657620663277,1.0070000000000001,0.7877440378326723,
1.8854414153184917,0.3793933368448141,-0.9826266664639877,-0.4323117377212307,27.52149436380671,1.0075,0.7867592440823992,
1.8849490314296473,0.3791806205289101,-0.9869082210612211,-0.41855480574923437,27.506136202741573,1.008,0.7857722902911699,
1.884454507765955,0.3789747807511065,-0.9911857645132094,-0.4048056015184922,27.490583658348385,1.0085,0.7847831922975833,
1.8839578463350004,0.3787758136232563,-0.9954592887663561,-0.3910642220908829,27.474837247984055,1.0090000000000001,0.7837919659287513,
